Ligand,Binding Affinity,rmsd/ub, rmsd/lb,Name of Comp
new_44257825_uff_E=565.26,-11.2,0,0,Apigenin 7-(4''-E-P-Coumarylglucoside); LMPK12110369
new_25072584_uff_E=567.59,-11.1,0,0,"Apigenin 4',7-Bis(Trans-P-Coumarate)"
new_25072584_uff_E=567.59,-10.9,25.204,19.7,"Apigenin 4',7-Bis(Trans-P-Coumarate)"
new_44429738_uff_E=591.92,-10.9,0,0,CHEMBL234317; 3''-O-(4-Hydroxycinnamoyl)Cosmosiin; Apigenin 7-(3-O-P-Coumaroylglucoside)
new_44429738_uff_E=591.92,-10.8,22.102,18.679,
new_44583919_uff_E=514.32,-10.8,0,0,
new_25072584_uff_E=567.59,-10.7,4.289,2.884,
new_44257826_uff_E=523.34,-10.7,0,0,
new_44257827_uff_E=478.01,-10.7,0,0,
new_44257827_uff_E=478.01,-10.7,23.346,19.117,
new_44257842_uff_E=647.82,-10.7,0,0,
new_44257856_uff_E=514.13,-10.7,0,0,
new_25072584_uff_E=567.59,-10.6,8.408,3.623,
new_25072584_uff_E=567.59,-10.6,8.782,7.669,
new_44257825_uff_E=565.26,-10.6,11.119,1.733,
new_44257825_uff_E=565.26,-10.6,43.084,34.348,
new_44257856_uff_E=514.13,-10.6,22.212,18.037,
new_44257856_uff_E=514.13,-10.6,22.675,17.862,
new_44258357_uff_E=641.45,-10.6,0,0,
new_44429738_uff_E=591.92,-10.6,43.363,34.773,
new_11399192_uff_E=652.54,-10.5,0,0,
new_157009965_uff_E=672.62,-10.5,0,0,
new_44257826_uff_E=523.34,-10.5,23.132,18.952,
new_44257826_uff_E=523.34,-10.5,22.366,18.526,
new_44257826_uff_E=523.34,-10.5,23.018,19.201,
new_44257827_uff_E=478.01,-10.5,9.801,4.407,
new_44257827_uff_E=478.01,-10.5,3.249,2.789,
new_44257827_uff_E=478.01,-10.5,4.469,2.856,
new_44257842_uff_E=647.82,-10.5,3.977,2.66,
new_44257855_uff_E=581.16,-10.5,0,0,
new_44257856_uff_E=514.13,-10.5,43.443,34.455,
new_44257859_uff_E=542.76,-10.5,0,0,
new_44257859_uff_E=542.76,-10.5,43.119,34.356,
new_11399192_uff_E=652.54,-10.4,11.485,3.293,
new_157009965_uff_E=672.62,-10.4,7.465,3.816,
new_157009965_uff_E=672.62,-10.4,9.425,5.39,
new_25072584_uff_E=567.59,-10.4,25.415,21.416,
new_44257816_uff_E=681.99,-10.4,0,0,
new_44257816_uff_E=681.99,-10.4,12.488,3.323,
new_44257826_uff_E=523.34,-10.4,44.91,34.996,
new_44257827_uff_E=478.01,-10.4,10.149,3.484,
new_44257827_uff_E=478.01,-10.4,10.06,4.41,
new_44257842_uff_E=647.82,-10.4,7.076,3.721,
new_44257855_uff_E=581.16,-10.4,42.92,34.104,
new_44257856_uff_E=514.13,-10.4,43.806,36.953,
