Ligand luteolin with energy ,Binding Affinity,rmsd/ub, rmsd/lb,Name of comp
new_101243424_uff_E=1285.22,-11.2,0,0,Luteolin 3'-O-Beta-D-Glucopyranoside-4'-O-Alpha-L-Rhamnopyranosyl-(1-2)-Beta-D-Glucopyranoside
new_86289445_uff_E=880.69,-11,0,0,"Luteolin 7-O-[(Beta-D-Glucosiduronate)-(1->2)-(Beta-D-Glucosiduronate)](3-); CHEBI:77989; Q27147573; Luteolin 7-O-[(Beta-D-Glucuronosyl)-(1->2)-(Beta-D-Glucuronide)]; 2-(3,4-Dihydroxyphenyl)-7-{[2-O-(Beta-D-Glucopyranuronosyl)-Beta-D-Glucopyranuronosyl]Oxy}-4-Oxo-4H-Chromen-5-Olate"
new_125350333_uff_E=662.34,-10.8,0,0,"3,4-Diphenylmethylidene Luteolin; 1201808-21-0; 2-(2,2-Diphenyl-1,3-Benzodioxol-5-Yl)-5,7-Dihydroxychromen-4-One; 2-(2,2-Diphenylbenzo[D][1,3]Dioxol-5-Yl)-5,7-Dihydroxy-4H-Chromen-4-One"
new_125350333_uff_E=662.34,-10.7,0,0,
new_125350333_uff_E=662.34,-10.7,0,0,
new_125350333_uff_E=662.34,-10.7,0,0,
new_86289445_uff_E=880.69,-10.7,3.7,2.991,
new_122377901_uff_E=1084.41,-10.6,0,0,
new_86289374_uff_E=1264.30,-10.6,0,0,
new_86289374_uff_E=1264.30,-10.6,4.166,2.668,
new_86289374_uff_E=1264.30,-10.6,3.338,2.126,
new_12315422_uff_E=790.73,-10.5,0,0,
new_125350333_uff_E=662.34,-10.5,11.683,6.01,
new_125350333_uff_E=662.34,-10.5,12.126,6.111,
new_125350333_uff_E=662.34,-10.5,18.656,15.972,
new_12315422_uff_E=790.73,-10.4,0,0,
new_12315422_uff_E=790.73,-10.4,11.119,3.487,
new_12315422_uff_E=790.73,-10.4,6.944,4.343,
new_125350333_uff_E=662.34,-10.4,11.997,5.915,
new_12315422_uff_E=790.73,-10.4,0,0,
new_86289374_uff_E=1264.30,-10.4,47.711,39.653,
new_12315422_uff_E=790.73,-10.3,9.217,5.221,
new_12315422_uff_E=790.73,-10.3,8.963,4.349,
new_12315422_uff_E=790.73,-10.3,1.951,0.837,
new_12315425_uff_E=672.48,-10.3,0,0,
new_124708103_uff_E=502.65,-10.3,0,0,
new_125350333_uff_E=662.34,-10.3,4.062,1.747,
new_124708103_uff_E=502.65,-10.3,0,0,
new_12315422_uff_E=790.73,-10.3,8.799,5.093,
new_12315422_uff_E=790.73,-10.3,6.289,2.416,
new_12315422_uff_E=790.73,-10.3,22.748,17.783,
new_12315422_uff_E=790.73,-10.3,4.064,2.484,
new_12315422_uff_E=790.73,-10.3,6.747,4.422,
new_124708103_uff_E=502.65,-10.3,0,0,
new_124708103_uff_E=502.65,-10.3,0,0,
new_86289374_uff_E=1264.30,-10.3,48.212,40.207,
new_12315422_uff_E=790.73,-10.2,6.894,4.171,
new_12315422_uff_E=790.73,-10.2,7.536,4.416,
new_12315422_uff_E=790.73,-10.2,9.388,4.317,
new_12315425_uff_E=672.48,-10.2,6.713,2.683,
new_12315425_uff_E=672.48,-10.2,8.368,4.127,
new_12302234_uff_E=999.25,-10.2,0,0,
new_12302234_uff_E=999.25,-10.2,8.518,4.194,
new_125350333_uff_E=662.34,-10.2,4.087,1.768,
new_12315422_uff_E=790.73,-10.2,7.343,4.232,
new_125350333_uff_E=662.34,-10.2,3.987,2.298,
new_12315422_uff_E=790.73,-10.2,6.882,3.045,
new_86289374_uff_E=1264.30,-10.2,49.403,41.26,
new_101243424_uff_E=1285.22,-10.2,9.051,2.595,
new_12315422_uff_E=790.73,-10.1,7.513,4.407,
new_125350333_uff_E=662.34,-10.1,3.975,1.632,
new_12315422_uff_E=790.73,-10.1,0,0,
new_125350333_uff_E=662.34,-10.1,39.048,33.087,
new_86289374_uff_E=1264.30,-10.1,2.377,1.588,
new_122377901_uff_E=1084.41,-10,0,0,
new_12315422_uff_E=790.73,-10,22.976,17.904,
new_12315425_uff_E=672.48,-10,10.387,4.729,
new_12315425_uff_E=672.48,-10,8.842,5.624,
new_124708103_uff_E=502.65,-10,40.738,32.6,
new_126962575_uff_E=554.69,-10,0,0,
new_12315422_uff_E=790.73,-10,7.566,3.562,
new_12315422_uff_E=790.73,-10,9.324,4.019,
new_125350333_uff_E=662.34,-10,4.002,1.645,
new_124708103_uff_E=502.65,-10,40.734,32.595,
new_126962575_uff_E=554.69,-10,0,0,
new_123132010_uff_E=924.04,-10,0,0,
new_12315422_uff_E=790.73,-10,4.28,3.072,
new_124708103_uff_E=502.65,-10,40.726,32.586,
new_86289318_uff_E=418.70,-10,0,0,
new_86289374_uff_E=1264.30,-10,49.566,41.39,
new_91666353_uff_E=737.88,-10,0,0,
new_122377901_uff_E=1084.41,-9.9,9.822,4.432,
new_12302234_uff_E=999.25,-9.9,0,0,
new_12315425_uff_E=672.48,-9.9,8.283,1.773,
new_125350333_uff_E=662.34,-9.9,39.122,33.26,
new_12315422_uff_E=790.73,-9.9,7.213,3.536,
new_124708103_uff_E=502.65,-9.9,40.667,32.538,
new_125350333_uff_E=662.34,-9.9,39.138,33.277,
new_122377901_uff_E=1084.41,-9.9,7.64,5.611,
new_123132010_uff_E=924.04,-9.9,21.56,17.906,
new_12315422_uff_E=790.73,-9.9,6.151,2.75,
new_12315422_uff_E=790.73,-9.9,6.648,2.407,
new_126962575_uff_E=554.69,-9.9,0,0,
new_86289374_uff_E=1264.30,-9.9,48.37,40.283,
new_86289445_uff_E=880.69,-9.9,4.813,3.591,
new_91129494_uff_E=556.93,-9.9,0,0,
new_101243424_uff_E=1285.22,-9.9,8.916,2.89,
new_12302234_uff_E=999.25,-9.8,9.096,4.626,
new_12302234_uff_E=999.25,-9.8,7.791,3.144,
new_12315425_uff_E=672.48,-9.8,7.16,3.279,
new_124708103_uff_E=502.65,-9.8,40.427,32.495,
new_125350333_uff_E=662.34,-9.8,9.804,2.497,
new_126962575_uff_E=554.69,-9.8,21.175,16.569,
new_12302234_uff_E=999.25,-9.8,8.372,4.956,
new_12302234_uff_E=999.25,-9.8,22.894,19.951,
new_12315422_uff_E=790.73,-9.8,8.414,4.14,
new_12315422_uff_E=790.73,-9.8,8.541,3.286,
new_124708103_uff_E=502.65,-9.8,40.347,32.495,
new_12315425_uff_E=672.48,-9.8,0,0,
new_12302234_uff_E=999.25,-9.8,0,0,
new_12302234_uff_E=999.25,-9.8,6.335,3.649,
new_123132010_uff_E=924.04,-9.8,20.495,17.813,
new_12315422_uff_E=790.73,-9.8,21.437,18.006,
new_86289445_uff_E=880.69,-9.8,3.54,2.495,
new_86289445_uff_E=880.69,-9.8,23.032,17.936,
